[2024-11-26 18:34:45,687: INFO: main: Starting the CNN classifier application]
[2024-11-26 18:35:07,563: INFO: main: Starting the CNN classifier application]
[2024-11-26 18:40:24,632: INFO: main: Starting the CNN classifier application]
[2024-11-26 21:39:01,299: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:39:01,306: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 21:39:17,201: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:39:17,204: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 21:40:44,441: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:40:44,444: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 21:41:15,075: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:41:15,078: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 21:45:01,738: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:45:10,863: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:45:14,283: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:45:26,148: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:45:31,053: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:46:09,052: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:46:09,055: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 21:47:34,423: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:47:34,426: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 21:47:34,428: INFO: common: created directory at: artifacts]
[2024-11-26 21:47:34,431: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 21:47:34,433: INFO: 986331348: Downloading data from https://drive.google.com/drive/u/3/folders/1LVDwxDo_XNedA-PFCGmuNHf1UVG_Ydq4 into file artifacts/data_ingestion/data.zip]
[2024-11-26 21:48:19,764: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:48:19,767: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 21:48:19,770: INFO: common: created directory at: artifacts]
[2024-11-26 21:48:19,772: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 21:48:19,775: INFO: 986331348: Downloading data from https://drive.google.com/drive/u/3/folders/1LVDwxDo_XNedA-PFCGmuNHf1UVG_Ydq4 into file artifacts/data_ingestion/data.zip]
[2024-11-26 21:52:30,240: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:52:30,244: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 21:52:30,249: INFO: common: created directory at: artifacts]
[2024-11-26 21:52:30,252: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 21:52:30,255: INFO: 986331348: Downloading data from https://drive.google.com/drive/u/3/folders/1LVDwxDo_XNedA-PFCGmuNHf1UVG_Ydq4 into file artifacts/data_ingestion/data.zip]
[2024-11-26 21:57:29,681: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 21:57:29,686: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 21:57:29,689: INFO: common: created directory at: artifacts]
[2024-11-26 21:57:29,691: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 21:57:29,694: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1_JrPVn4IurQ4KRLI_QWe0pwU-wtrO2ph into file artifacts/data_ingestion/data.zip]
[2024-11-26 22:00:43,432: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 22:00:43,437: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 22:00:43,439: INFO: common: created directory at: artifacts]
[2024-11-26 22:01:08,484: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 22:01:08,488: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 22:01:08,491: INFO: common: created directory at: artifacts]
[2024-11-26 22:01:08,493: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 22:01:23,558: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 22:01:23,561: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 22:01:23,563: INFO: common: created directory at: artifacts]
[2024-11-26 22:01:23,566: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 22:01:31,202: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 22:01:31,205: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 22:01:31,207: INFO: common: created directory at: artifacts]
[2024-11-26 22:01:31,209: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 22:01:40,057: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 22:01:40,060: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 22:01:40,063: INFO: common: created directory at: artifacts]
[2024-11-26 22:01:40,065: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 22:01:43,392: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 22:01:43,395: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 22:01:43,398: INFO: common: created directory at: artifacts]
[2024-11-26 22:01:43,399: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 22:01:50,324: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 22:01:50,327: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 22:01:50,330: INFO: common: created directory at: artifacts]
[2024-11-26 22:01:50,332: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 22:04:25,703: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-26 22:04:25,705: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-26 22:04:25,708: INFO: common: created directory at: artifacts]
[2024-11-26 22:04:25,710: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-26 22:04:25,712: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1_JrPVn4IurQ4KRLI_QWe0pwU-wtrO2ph/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-26 22:05:16,446: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1_JrPVn4IurQ4KRLI_QWe0pwU-wtrO2ph/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-27 09:35:48,594: INFO: main: Welcome to our custom log]
[2024-11-27 09:35:48,595: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-27 09:35:48,653: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 09:35:48,685: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 09:35:48,689: INFO: common: created directory at: artifacts]
[2024-11-27 09:35:48,691: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 09:35:48,693: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1_JrPVn4IurQ4KRLI_QWe0pwU-wtrO2ph/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-27 09:36:45,806: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1_JrPVn4IurQ4KRLI_QWe0pwU-wtrO2ph/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-27 09:37:14,916: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-27 09:37:14,917: INFO: main: *******************]
